user_file,mean_error,std_error,bpm_diff,onset_count_diff,duration,score
80_Em_SoulChords_01_6_SP_user_slow.wav,2.409411764705882,1.5614759023257256,-4.681131114,-11,25.263174603174605,70
80_Fm_SoulLicks_03_6_SP.wav,0,0,0,0,12,100
80_Fm_SoulLicks_03_6_SP_user_fast.wav,0.3304378161521018,0.3667049770045588,-78.14468876,-6,11.428571428571429,85
80_Fm_SoulLicks_03_6_SP_user_slow.wav,0.8252014652014651,0.6796186710055848,-17.94433594,-6,12.63156462585034,70
90_Dm_SoulChordsArp_01_6_SP.wav,0,0,0,0,21.333333333333332,100
90_Dm_SoulChordsArp_01_6_SP_user_fast.wav,0.9346574268336618,0.45134809191140746,6.15234375,-19,20.317460317460316,85
90_Dm_SoulChordsArp_01_6_SP_user_slow.wav,2.195457363373484,1.0129720947723164,-10.69972826,-17,22.456145124716553,70
93_Dm_ArpChrdNylonGtr_06_714.wav,0,0,0,0,10.322585034013606,100
93_Dm_ArpChrdNylonGtr_06_714_user_fast.wav,0.15590540978296077,0.11934778260528782,8.444393382352928,-1,9.831020408163266,85
93_Dm_ArpChrdNylonGtr_06_714_user_slow.wav,0.1889623895535226,0.16187766808468787,-7.555509868,0,10.865895691609976,70
bloom-soft-guitar-flute-melody_130bpm_D_major.wav,0,0,0,0,46.04920634920635,100
bloom-soft-guitar-flute-melody_130bpm_D_major_user_fast.wav,5.394651295632757,2.304811939384619,6.799958881578959,-41,43.856371882086165,85
bloom-soft-guitar-flute-melody_130bpm_D_major_user_slow.wav,5.488020377100613,2.7366729286028364,-6.15234375,-26,48.47283446712018,70
bossa-nova-style-soft-guitar-melody_117bpm_A#_major.wav,0,0,0,0,12.819183673469388,100
bossa-nova-style-soft-guitar-melody_117bpm_A#_major_user_fast.wav,0.8836482741244647,0.2974584264544252,9.499942555147072,1,12.20875283446712,85
bossa-nova-style-soft-guitar-melody_117bpm_A#_major_user_slow.wav,0.20962459057697155,0.19127991988955648,-8.444393382,0,13.493877551020407,70
E_StrumAcGtr_01_714.wav,0,0,0,0,7.177278911564626,100
E_StrumAcGtr_01_714_user_fast.wav,0,0,-23.65203089,0,6.835510204081633,85
E_StrumAcGtr_01_714_user_slow.wav,0.023219955,0,-12.95230263,1,7.555011337868481,70
romantic-nylon-guitar-melody-early-spring_70bpm_E_major.wav,0,0,0,0,13.714285714285714,100
romantic-nylon-guitar-melody-early-spring_70bpm_E_major_user_fast.wav,0.8668783068783068,0.21593695395249923,0,-2,13.061224489795919,85
romantic-nylon-guitar-melody-early-spring_70bpm_E_major_user_slow.wav,0.3286768228418127,0.18826294786502445,-7.555509868,0,14.436099773242631,70
sad-acoustic-guitar-melody-let-go_167bpm_F_major.wav,0,0,0,0,11.497006802721089,100
sad-acoustic-guitar-melody-let-go_167bpm_F_major_user_fast.wav,0.28154195011337874,0.15905563003437584,5.1066884881422965,0,10.949523809523809,85
sad-acoustic-guitar-melody-let-go_167bpm_F_major_user_slow.wav,0.2822675736961452,0.17589301242070304,-4.681131114,1,12.102131519274376,70
warm-gentle-guitar-bright-loop_79bpm_D_major.wav,0,0,0,0,14.328390022675737,100
warm-gentle-guitar-bright-loop_79bpm_D_major_user_fast.wav,1.5574359825230906,1.2351894877447585,7.555509868421041,-18,13.64607709750567,85
warm-gentle-guitar-bright-loop_79bpm_D_major_user_slow.wav,1.3148868436263392,0.8934783635845992,-6.799958882,-8,15.08249433106576,70
